index,English,Chinese<br>(中国大陆),Chinese<br>(中國香港),Chinese<br>(中國台灣),Japanese<br>(日本語),Korean<br>(한국어)
0,<span lang='en'>computer</span>,<span lang='zh-cn'><ruby>电<rt>diàn</rt></ruby><ruby>脑<rt>nǎo</rt></ruby></span>,<span lang='zh-hk'><ruby>電<rt>din6</rt></ruby><ruby>腦<rt>nou5</rt></ruby></span>,<span lang='zh-tw'><ruby>電<rt>ㄉㄧㄢˋ</rt></ruby><ruby>腦<rt>ㄋㄠˇ</rt></ruby></span>,<span lang='ja'>コンピュータ</span>,<span lang='ko'>컴퓨터</span>
1,<span lang='en'>smartphone</span>,<span lang='zh-cn'><ruby>智能<rt>zhì néng</rt></ruby> <ruby>手机<rt>shǒu jī</rt></ruby></span>,<span lang='zh-hk'><ruby>智能<rt>zi3 nang4</rt></ruby> <ruby>電話<rt>din6 waa2</rt></ruby><br><ruby>智能<rt>zi3 nang4</rt></ruby> <ruby>手機<rt>sau2 gei1</rt></ruby></span>,<span lang='zh-tw'><ruby>智慧<rt>ㄓˋ ㄏㄨㄟˋ</rt></ruby> <ruby>型<rt>ㄒㄧㄥˊ</rt></ruby> <ruby>手機<rt>ㄕㄡˇ ㄐㄧ</rt></ruby></span>,<span lang='ja'>スマート フォン</span>,<span lang='ko'>스마트 폰</span>
2,<span lang='en'>software</span>,<span lang='zh-cn'><ruby>软<rt>ruǎn</rt></ruby><ruby>件<rt>jiàn</rt></ruby></span>,<span lang='zh-hk'><ruby>軟<rt>jyun5</rt></ruby><ruby>件<rt>gin2</rt></ruby></span>,<span lang='zh-tw'><ruby>軟<rt>ㄖㄨㄢˇ</rt></ruby><ruby>體<rt>ㄊㄧˇ</rt></ruby></span>,<span lang='ja'>ソフトウェア</span>,<span lang='ko'>소프트웨어</span>
3,<span lang='en'>hardware</span>,<span lang='zh-cn'><ruby>硬<rt>yìng</rt></ruby><ruby>件<rt>jiàn</rt></ruby></span>,<span lang='zh-hk'><ruby>硬<rt>ngaang6</rt></ruby><ruby>件<rt>gin2</rt></ruby></span>,<span lang='zh-tw'><ruby>硬<rt>ㄧㄥˋ</rt></ruby><ruby>體<rt>ㄊㄧˇ</rt></ruby></span>,<span lang='ja'>ハードウェア</span>,<span lang='ko'>하드웨어</span>
4,<span lang='en'>information</span>,<span lang='zh-cn'><ruby>信息<rt>xìn xī</rt></ruby></span>,<span lang='zh-hk'><ruby>資訊<rt>zi1 seon3</rt></ruby><br><ruby>信息<rt>seon3 sik1</rt></ruby></span>,<span lang='zh-tw'><ruby>資訊<rt>ㄗ ㄒㄩㄣˋ</rt></ruby></span>,<span lang='ja'><ruby>情報<rt>じょう ほう</rt></ruby></span>,<span lang='ko'><ruby>情報<rt>정 보</rt></ruby></span>
5,<span lang='en'>data</span>,<span lang='zh-cn'><ruby>数<rt>shù</rt></ruby><ruby>据<rt>jù</rt></ruby></span>,<span lang='zh-hk'><ruby>資料<rt>zi1 liu2</rt></ruby><br><ruby>數<rt>sou3</rt></ruby><ruby>據<rt>geoi3</rt></ruby></span>,<span lang='zh-tw'><ruby>資料<rt>ㄗ ㄌㄧㄠˋ</rt></ruby></span>,<span lang='ja'>データ</span>,<span lang='ko'>데이터<br><ruby>資料<rt>자 료</rt></ruby></span>
6,<span lang='en'>network</span>,<span lang='zh-cn'><ruby>网<rt>wǎng</rt></ruby><ruby>络<rt>luò</rt></ruby></span>,<span lang='zh-hk'><ruby>網<rt>mong5</rt></ruby><ruby>絡<rt>lok3</rt></ruby></span>,<span lang='zh-tw'><ruby>網<rt>ㄨㄤˇ</rt></ruby><ruby>路<rt>ㄌㄨˋ</rt></ruby></span>,<span lang='ja'>ネットワーク<br>ネット</span>,<span lang='ko'>네트워크</span>
7,<span lang='en'>application<br>app</span>,<span lang='zh-cn'><ruby>应用<rt>yìng yòng</rt></ruby> <ruby>程序<rt>chéng xù</rt></ruby></span>,<span lang='zh-hk'><ruby>應用<rt>jing3 jung6</rt></ruby> <ruby>程式<rt>cing4 sik1</rt></ruby></span>,<span lang='zh-tw'><ruby>應用<rt>ㄧㄥˋ ㄩㄥˋ</rt></ruby> <ruby>程式<rt>ㄔㄥˊ ㄕˋ</rt></ruby></span>,<span lang='ja'>アプリケーション<br>アプリ<br><ruby>応用<rt>おう よう</rt></ruby></span>,<span lang='ko'>애플리케이션<br>앱<br><ruby>應用<rt>응 용</rt></ruby> 프로그램</span>
