index,English,Chinese<br>(中国大陆),Chinese<br>(中國香港),Chinese<br>(中國台灣),Japanese<br>(日本語),Korean<br>(한국어)
0,<span lang='en'>bit</span>,<span lang='zh-cn'>比特</span>,<span lang='zh-hk'><ruby>位元<rt>wai6 jyun4</rt></ruby></span>,<span lang='zh-tw'><ruby>位元<rt>ㄨㄟˋ ㄩㄢˊ</rt></ruby></span>,<span lang='ja'>ビット</span>,<span lang='ko'>비트</span>
1,<span lang='en'>byte</span>,<span lang='zh-cn'><ruby>字<rt>zì</rt></ruby><ruby>节<rt>jié</rt></ruby></span>,<span lang='zh-hk'><ruby>位元<rt>wai6 jyun4</rt></ruby><ruby>組<rt>zou2</rt></ruby></span>,<span lang='zh-tw'><ruby>位元<rt>ㄨㄟˋ ㄩㄢˊ</rt></ruby><ruby>組<rt>ㄗㄨˇ</rt></ruby></span>,<span lang='ja'>バイト</span>,<span lang='ko'>바이트</span>
2,<span lang='en'>octet</span>,<span lang='zh-cn'><ruby>八<rt>bā</rt></ruby><ruby>字节<rt>zì jié</rt></ruby></span>,<span lang='zh-hk'><ruby>八<rt>baat3</rt></ruby><ruby>位元組<rt>wai6 jyun4 zou2</rt></ruby></span>,<span lang='zh-tw'><ruby>八<rt>ㄅㄚ</rt></ruby><ruby>位元組<rt>ㄨㄟˋ ㄩㄢˊ ㄗㄨˇ</rt></ruby></span>,<span lang='ja'>オクテット</span>,<span lang='ko'>옥텟</span>
3,<span lang='en'>word</span>,<span lang='zh-cn'><ruby>字<rt>zì</rt></ruby></span>,<span lang='zh-hk'><ruby>字<rt>zi6</rt></ruby><br><ruby>字<rt>zi6</rt></ruby> <ruby>組<rt>zou2</rt></ruby></span>,<span lang='zh-tw'><ruby>字<rt>ㄗˋ</rt></ruby><br><ruby>字<rt>ㄗˋ</rt></ruby> <ruby>組<rt>ㄗㄨˇ</rt></ruby></span>,<span lang='ja'>ワード</span>,<span lang='ko'>워드</span>
