index,English,Chinese<br>(中国大陆),Chinese<br>(中國香港),Chinese<br>(中國台灣),Japanese<br>(日本語),Korean<br>(한국어)
0,<span lang='en'>editor</span>,<span lang='zh-cn'><ruby>编辑<rt>biān jí</rt></ruby><ruby>器<rt>qì</rt></ruby></span>,<span lang='zh-hk'><ruby>編輯<rt>pin1 cap1</rt></ruby><ruby>器<rt>hei3</rt></ruby></span>,<span lang='zh-tw'><ruby>編輯<rt>ㄅㄧㄢ ㄐㄧˊ</rt></ruby><ruby>器<rt>ㄑㄧˋ</rt></ruby></span>,<span lang='ja'>エディタ</span>,<span lang='ko'>에디터<br><ruby>編輯<rt>편 집</rt></ruby><ruby>機<rt>기</rt></ruby></span>
1,<span lang='en'>compiler</span>,<span lang='zh-cn'><ruby>编译<rt>biān yì</rt></ruby><ruby>器<rt>qì</rt></ruby></span>,<span lang='zh-hk'><ruby>編譯<rt>pin1 jik6</rt></ruby><ruby>器<rt>hei3</rt></ruby></span>,<span lang='zh-tw'><ruby>編譯<rt>ㄅㄧㄢ ㄧˋ</rt></ruby><ruby>器<rt>ㄑㄧˋ</rt></ruby></span>,<span lang='ja'>コンパイラ</span>,<span lang='ko'>컴파일러</span>
2,<span lang='en'>decompiler</span>,<span lang='zh-cn'><ruby>反<rt>fǎn</rt></ruby><ruby>编译器<rt>biān yì qì</rt></ruby></span>,<span lang='zh-hk'><ruby>反<rt>faan2</rt></ruby><ruby>編譯器<rt>pin1 jik6 hei3</rt></ruby></span>,<span lang='zh-tw'><ruby>反<rt>ㄈㄢˇ</rt></ruby><ruby>編譯器<rt>ㄅㄧㄢ ㄧˋ ㄑㄧˋ</rt></ruby></span>,<span lang='ja'><ruby>逆<rt>ぎゃく</rt></ruby> コンパイラ</span>,<span lang='ko'>디컴파일러<br><ruby>逆<rt>역</rt></ruby>컴파일러</span>
3,<span lang='en'>transpiler</span>,<span lang='zh-cn'><ruby>转<rt>zhuǎn</rt></ruby><ruby>译器<rt>yì qì</rt></ruby></span>,<span lang='zh-hk'><ruby>轉<rt>zyun2</rt></ruby><ruby>譯器<rt>jik6 hei3</rt></ruby></span>,<span lang='zh-tw'><ruby>轉<rt>ㄓㄨㄢˇ</rt></ruby><ruby>譯器<rt>ㄧˋ ㄑㄧˋ</rt></ruby></span>,<span lang='ja'>トランスパイラ</span>,<span lang='ko'>트랜스파일러</span>
4,<span lang='en'>debugger</span>,<span lang='zh-cn'><ruby>调试<rt>tiáo shì</rt></ruby> <ruby>工具<rt>gōng jù</rt></ruby><br><ruby>调试<rt>tiáo shì</rt></ruby><ruby>器<rt>qì</rt></ruby></span>,<span lang='zh-hk'><ruby>除錯<rt>ceoi4 co3</rt></ruby> <ruby>工具<rt>gung1 geoi6</rt></ruby><br><ruby>除錯<rt>ceoi4 co3</rt></ruby><ruby>器<rt>hei3</rt></ruby></span>,<span lang='zh-tw'><ruby>除錯<rt>ㄔㄨˊ ㄘㄨㄛˋ</rt></ruby> <ruby>工具<rt>ㄍㄨㄥ ㄐㄩˋ</rt></ruby><br><ruby>除錯<rt>ㄔㄨˊ ㄘㄨㄛˋ</rt></ruby><ruby>器<rt>ㄑㄧˋ</rt></ruby></span>,<span lang='ja'>デバッガ</span>,<span lang='ko'>디버거</span>
5,<span lang='en'>integrated development environment</span>,<span lang='zh-cn'><ruby>集成<rt>jí chéng</rt></ruby> <ruby>开发<rt>kāi fā</rt></ruby> <ruby>环境<rt>huán jìng</rt></ruby></span>,<span lang='zh-hk'><ruby>整合<rt>zing2 hap6</rt></ruby> <ruby>開發<rt>hoi1 faat3</rt></ruby> <ruby>環境<rt>waan4 ging2</rt></ruby></span>,<span lang='zh-tw'><ruby>整合<rt>ㄓㄥˇ ㄏㄜˊ</rt></ruby> <ruby>開發<rt>ㄎㄞ ㄈㄚ</rt></ruby> <ruby>環境<rt>ㄏㄨㄢˊ ㄐㄧㄥˋ</rt></ruby></span>,<span lang='ja'><ruby>統合<rt>とう ごう</rt></ruby> <ruby>開発<rt>かい はつ</rt></ruby> <ruby>環境<rt>かん きょう</rt></ruby></span>,<span lang='ko'><ruby>統合<rt>통 합</rt></ruby> <ruby>開發<rt>개 발</rt></ruby> <ruby>環境<rt>환 경</rt></ruby></span>
