index,English,Chinese<br>(中国大陆),Chinese<br>(中國香港),Chinese<br>(中國台灣),Japanese<br>(日本語),Korean<br>(한국어)
0,<span lang='en'>computer science</span>,<span lang='zh-cn'><ruby>计算机<rt>jì suàn jī</rt></ruby> <ruby>科学<rt>kē xué</rt></ruby></span>,<span lang='zh-hk'><ruby>電腦<rt>din6 nou5</rt></ruby> <ruby>科學<rt>fo1 hok6</rt></ruby></span>,<span lang='zh-tw'><ruby>電腦<rt>ㄉㄧㄢˋ ㄋㄠˇ</rt></ruby> <ruby>科學<rt>ㄎㄜ ㄒㄩㄝˊ</rt></ruby></span>,<span lang='ja'>コンピュータ <ruby>科学<rt>か がく</rt></ruby><br><ruby>計算機<rt>けい さん き</rt></ruby> <ruby>科学<rt>か がく</rt></ruby></span>,<span lang='ko'>컴퓨터 <ruby>科學<rt>과 학</rt></ruby><br><ruby>電算<rt>전 산</rt></ruby><ruby>學<rt>학</rt></ruby></span>
1,<span lang='en'>computational science</span>,<span lang='zh-cn'><ruby>计算<rt>jì suàn</rt></ruby> <ruby>科学<rt>kē xué</rt></ruby></span>,<span lang='zh-hk'><ruby>計算<rt>gai3 syun3</rt></ruby> <ruby>科學<rt>fo1 hok6</rt></ruby><br><ruby>運算<rt>wan6 syun3</rt></ruby> <ruby>科學<rt>fo1 hok6</rt></ruby></span>,<span lang='zh-tw'><ruby>計算<rt>ㄐㄧˋ ㄙㄨㄢˋ</rt></ruby> <ruby>科學<rt>ㄎㄜ ㄒㄩㄝˊ</rt></ruby></span>,<span lang='ja'><ruby>計算<rt>けい さん</rt></ruby> <ruby>科学<rt>か がく</rt></ruby></span>,<span lang='ko'><ruby>計算<rt>계 산</rt></ruby> <ruby>科學<rt>과 학</rt></ruby></span>
2,<span lang='en'>theory of computation</span>,<span lang='zh-cn'><ruby>计算<rt>jì suàn</rt></ruby> <ruby>理论<rt>lǐ lùn</rt></ruby></span>,<span lang='zh-hk'><ruby>計算<rt>gai3 syun3</rt></ruby> <ruby>理論<rt>lei5 leon6</rt></ruby><br><ruby>運算<rt>wan6 syun3</rt></ruby> <ruby>理論<rt>lei5 leon6</rt></ruby></span>,<span lang='zh-tw'><ruby>計算<rt>ㄐㄧˋ ㄙㄨㄢˋ</rt></ruby> <ruby>理論<rt>ㄌㄧˇ ㄌㄨㄣˋ</rt></ruby></span>,<span lang='ja'><ruby>計算<rt>けい さん</rt></ruby> <ruby>理論<rt>り ろん</rt></ruby></span>,<span lang='ko'><ruby>計算<rt>계 산</rt></ruby> <ruby>理論<rt>이 론</rt></ruby></span>
3,<span lang='en'>computer engineering</span>,<span lang='zh-cn'><ruby>计算机<rt>jì suàn jī</rt></ruby> <ruby>工程<rt>gōng chéng</rt></ruby></span>,<span lang='zh-hk'><ruby>電腦<rt>din6 nou5</rt></ruby> <ruby>工程<rt>gung1 cing4</rt></ruby><br><ruby>計算機<rt>gai3 syun3 gei1</rt></ruby> <ruby>工程<rt>gung1 cing4</rt></ruby></span>,<span lang='zh-tw'><ruby>電腦<rt>ㄉㄧㄢˋ ㄋㄠˇ</rt></ruby> <ruby>工程<rt>ㄍㄨㄥ ㄔㄥˊ</rt></ruby></span>,<span lang='ja'><ruby>計算機<rt>けい さん き</rt></ruby> <ruby>工学<rt>こう がく</rt></ruby><br>コンピュータ <ruby>工学<rt>こう がく</rt></ruby></span>,<span lang='ko'>컴퓨터 <ruby>工學<rt>공 학</rt></ruby></span>
4,<span lang='en'>software engineering</span>,<span lang='zh-cn'><ruby>软件<rt>ruǎn jiàn</rt></ruby> <ruby>工程<rt>gōng chéng</rt></ruby></span>,<span lang='zh-hk'><ruby>軟件<rt>jyun5 gin2</rt></ruby> <ruby>工程<rt>gung1 cing4</rt></ruby></span>,<span lang='zh-tw'><ruby>軟體<rt>ㄖㄨㄢˇ ㄊㄧˇ</rt></ruby> <ruby>工程<rt>ㄍㄨㄥ ㄔㄥˊ</rt></ruby></span>,<span lang='ja'>ソフトウェア <ruby>工学<rt>こう がく</rt></ruby></span>,<span lang='ko'>소프트웨어 <ruby>工學<rt>공 학</rt></ruby></span>
5,<span lang='en'>artificial intelligence</span>,<span lang='zh-cn'><ruby>人工<rt>rén gōng</rt></ruby> <ruby>智能<rt>zhì néng</rt></ruby></span>,<span lang='zh-hk'><ruby>人工<rt>jan4 gung1</rt></ruby> <ruby>智能<rt>zi3 nang4</rt></ruby></span>,<span lang='zh-tw'><ruby>人工<rt>ㄖㄣˊ ㄍㄨㄥ</rt></ruby> <ruby>智能<rt>ㄓˋ ㄋㄥˊ</rt></ruby></span>,<span lang='ja'><ruby>人工<rt>じん こう</rt></ruby> <ruby>知能<rt>ち のう</rt></ruby></span>,<span lang='ko'><ruby>人工<rt>인 공</rt></ruby> <ruby>知能<rt>지 능</rt></ruby></span>
6,<span lang='en'>computer security<br>information technology security</span>,<span lang='zh-cn'><ruby>计算机<rt>jì suàn jī</rt></ruby> <ruby>安全<rt>ān quán</rt></ruby></span>,<span lang='zh-hk'><ruby>電腦<rt>din6 nou5</rt></ruby> <ruby>保安<rt>bou2 on1</rt></ruby></span>,<span lang='zh-tw'><ruby>電腦<rt>ㄉㄧㄢˋ ㄋㄠˇ</rt></ruby> <ruby>安全<rt>ㄢ ㄑㄩㄢˊ</rt></ruby></span>,<span lang='ja'>コンピュータ セキュリティ</span>,<span lang='ko'>컴퓨터 <ruby>保安<rt>보 안</rt></ruby><br><ruby>情報<rt>정 보</rt></ruby> <ruby>技術<rt>기 술</rt></ruby> <ruby>保安<rt>보 안</rt></ruby></span>
7,<span lang='en'>cryptography<br>cryptology</span>,<span lang='zh-cn'><ruby>密码<rt>mì mǎ</rt></ruby><ruby>学<rt>xué</rt></ruby></span>,<span lang='zh-hk'><ruby>密碼<rt>mat6 maa5</rt></ruby><ruby>學<rt>hok6</rt></ruby></span>,<span lang='zh-tw'><ruby>密碼<rt>ㄇㄧˋ ㄇㄚˇ</rt></ruby><ruby>學<rt>ㄒㄩㄝˊ</rt></ruby></span>,<span lang='ja'><ruby>暗号<rt>あん ごう</rt></ruby><ruby>学<rt>がく</rt></ruby><br><ruby>暗号<rt>あん ごう</rt></ruby> <ruby>理論<rt>り ろん</rt></ruby></span>,<span lang='ko'><ruby>暗號<rt>암 호</rt></ruby><ruby>學<rt>학</rt></ruby><br><ruby>暗號<rt>암 호</rt></ruby> <ruby>理論<rt>이 론</rt></ruby></span>
